movie_id,title,genre,description
1,Inception,Sci-Fi,"A thief who enters dreams to steal secrets must plant an idea into a target's subconscious."
2,Interstellar,Sci-Fi,"A group of explorers travel through a wormhole in space to save humanity."
3,The Dark Knight,Action,"Batman faces the Joker, a criminal mastermind who wants to plunge Gotham into chaos."
4,Titanic,Romance,"A wealthy woman and a poor artist fall in love aboard the ill-fated RMS Titanic."
5,The Notebook,Romance,"A love story about a young couple who fall deeply in love one summer."
6,Avengers: Endgame,Action,"Earth's mightiest heroes assemble once more to undo the damage caused by Thanos."
7,The Conjuring,Horror,"Paranormal investigators help a family terrorized by a dark presence."
8,Insidious,Horror,"A family looks to prevent evil spirits from trapping their comatose child."
9,The Lion King,Animation,"A young lion prince flees his kingdom after the death of his father."
10,Frozen,Animation,"Two sisters navigate love, friendship, and magical ice powers to save their kingdom."
